mag_x (uT),mag_y (uT),mag_z (uT)
3.249635738038835342e+01,-3.608768436741184971e+00,3.769952339365381988e+01
3.249914603935189206e+01,-3.602060512682089488e+00,3.770855904284282900e+01
3.253111839789424664e+01,-3.617500468828808380e+00,3.770782948623019593e+01
3.252500355946674659e+01,-3.603927196134742328e+00,3.769704573556423099e+01
3.252322741446310772e+01,-3.614270140493977657e+00,3.769558665096349870e+01
3.253064807238203571e+01,-3.585285262055509570e+00,3.770656814511394117e+01
3.251775189753805506e+01,-3.586514476121154260e+00,3.769332352679747800e+01
3.251660443408307799e+01,-3.607724167425401252e+00,3.771648114218840675e+01
3.252598206437156847e+01,-3.603390516944420252e+00,3.771868943208437486e+01
3.250968542534094041e+01,-3.620471144579173739e+00,3.772023663820254313e+01
3.251279348833806182e+01,-3.620174341598302981e+00,3.768405534273257018e+01
3.252296084485320193e+01,-3.608936587525759077e+00,3.769397015120961925e+01
3.253301237799031043e+01,-3.613913174947989582e+00,3.768194789939370537e+01
3.251609553231401861e+01,-3.628337198571431443e+00,3.770089523875085291e+01
3.252038783616900730e+01,-3.610669655669688893e+00,3.770730620669687738e+01
3.251083346610874969e+01,-3.613089428921115065e+00,3.770214428405498097e+01
3.252040374311000193e+01,-3.618555156093555158e+00,3.769759149790462516e+01
3.251617465749292535e+01,-3.613881084675223843e+00,3.770026638308628719e+01
3.252226829893091775e+01,-3.618253663592613911e+00,3.771181250277882668e+01
3.252596604012792625e+01,-3.613558262995478998e+00,3.771694770696073817e+01
3.253726744144623240e+01,-3.598850292272477880e+00,3.770403569003399014e+01
3.254257284675582440e+01,-3.629569775729127645e+00,3.771182292575085171e+01
3.252762864176447266e+01,-3.616978342317410000e+00,3.770367231492594584e+01
3.249996851316950597e+01,-3.615491581135464205e+00,3.769612856725677830e+01
3.251909495264758476e+01,-3.631011739704188113e+00,3.769034412056532091e+01
3.252467609763209566e+01,-3.615465929967102365e+00,3.769492848754561010e+01
3.251922074955011510e+01,-3.617423046552146193e+00,3.769297432579391938e+01
3.251905377219367210e+01,-3.607155193615386946e+00,3.771309838788535274e+01
3.251407268909661497e+01,-3.629000653332043580e+00,3.770553086708769541e+01
3.252846381027565315e+01,-3.619579700932708199e+00,3.770629354291976654e+01
3.251627869012766325e+01,-3.602646458560519793e+00,3.768977716606983819e+01
