ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.423434390194177255e-03,-9.134651527600152728e-04,8.997785878427896122e+00
3.421995299598376214e-03,-9.188415417239681948e-04,8.997785886388099286e+00
3.420547765568208564e-03,-9.242156635425482049e-04,8.997785893552283198e+00
3.419091791675428742e-03,-9.295875049551636767e-04,8.997785900000048187e+00
3.417627381512603098e-03,-9.349570527068971557e-04,8.997785905803036499e+00
3.416154538693105987e-03,-9.403242935485341993e-04,8.997785911025726335e+00
3.414673266851110667e-03,-9.456892142365912407e-04,8.997785915726147721e+00
3.413183569641580189e-03,-9.510518015333446458e-04,8.997785919956525547e+00
3.411685450740258724e-03,-9.564120422068602030e-04,8.997785923763865767e+00
3.410178913843665057e-03,-9.617699230310218549e-04,8.997785927190472322e+00
3.408663962669083482e-03,-9.671254307855616222e-04,8.997785930274417865e+00
3.407140600954553823e-03,-9.724785522560902866e-04,8.997785933049968321e+00
3.405608832458862333e-03,-9.778292742341270979e-04,8.997785935547964797e+00
3.404068660961537783e-03,-9.831775835171304573e-04,8.997785937796162870e+00
3.402520090262833689e-03,-9.885234669085285995e-04,8.997785939819538115e+00
3.400963124183728741e-03,-9.938669112177500597e-04,8.997785941640577434e+00
3.399397766565910757e-03,-9.992079032602560907e-04,8.997785943279513532e+00
3.397824021271771047e-03,-1.004546429857570153e-03,8.997785944754554066e+00
3.396241892184394002e-03,-1.009882477837309792e-03,8.997785946082093034e+00
3.394651383207548424e-03,-1.015216034033218726e-03,8.997785947276875973e+00
3.393052498265675815e-03,-1.020547085285197645e-03,8.997785948352181151e+00
3.391445241303885170e-03,-1.025875618439335644e-03,8.997785949319956345e+00
3.389829616287939103e-03,-1.031201620347942539e-03,8.997785950190953841e+00
3.388205627204246475e-03,-1.036525077869579871e-03,8.997785950974851232e+00
3.386573278059851980e-03,-1.041845977869093436e-03,8.997785951680357996e+00
3.384932572882427479e-03,-1.047164307217644070e-03,8.997785952315316749e+00
3.383283515720260717e-03,-1.052480052792740834e-03,8.997785952886777849e+00
3.381626110642246656e-03,-1.057793201478271798e-03,8.997785953401091774e+00
3.379960361737875760e-03,-1.063103740164536353e-03,8.997785953863976616e+00
3.378286273117226627e-03,-1.068411655748278174e-03,8.997785954280571374e+00
3.376603848910953842e-03,-1.073716935132714920e-03,8.997785954655508789e+00
3.374913093270278438e-03,-1.079019565227572284e-03,8.997785954992950863e+00
3.373214010366977923e-03,-1.084319532949115433e-03,8.997785955296649263e+00
3.371506604393376301e-03,-1.089616825220180232e-03,8.997785955569977290e+00
3.369790879562332368e-03,-1.094911428970206857e-03,8.997785955815972514e+00
3.368066840107231466e-03,-1.100203331135270798e-03,8.997785956037368749e+00
3.366334490281973780e-03,-1.105492518658114523e-03,8.997785956236626248e+00
3.364593834360963924e-03,-1.110778978488180220e-03,8.997785956415956576e+00
3.362844876639100103e-03,-1.116062697581642321e-03,8.997785956577352806e+00
3.361087621431765871e-03,-1.121343662901438509e-03,8.997785956722610834e+00
3.359322073074814952e-03,-1.126621861417301598e-03,8.997785956853343592e+00
3.357548235924566037e-03,-1.131897280105793359e-03,8.997785956971000587e+00
3.355766114357787606e-03,-1.137169905950334656e-03,8.997785957076894547e+00
3.353975712771690553e-03,-1.142439725941238413e-03,8.997785957172197868e+00
3.352177035583913008e-03,-1.147706727075741484e-03,8.997785957257971035e+00
3.350370087232514265e-03,-1.152970896358036313e-03,8.997785957335166174e+00
3.348554872175961775e-03,-1.158232220799303462e-03,8.997785957404643042e+00
3.346731394893119431e-03,-1.163490687417743268e-03,8.997785957467170803e+00
3.344899659883238032e-03,-1.168746283238607936e-03,8.997785957523447564e+00
3.343059671665940969e-03,-1.173998995294233414e-03,8.997785957574096827e+00
3.341211434781218587e-03,-1.179248810624071919e-03,8.997785957619679920e+00
3.339354953789413008e-03,-1.184495716274722513e-03,8.997785957660704881e+00
3.337490233271205985e-03,-1.189739699299964711e-03,8.997785957697628234e+00
3.335617277827611100e-03,-1.194980746760789057e-03,8.997785957730858541e+00
3.333736092079961615e-03,-1.200218845725430084e-03,8.997785957760765285e+00
3.331846680669896168e-03,-1.205453983269396886e-03,8.997785957787682420e+00
3.329949048259349658e-03,-1.210686146475506517e-03,8.997785957811906599e+00
3.328043199530542409e-03,-1.215915322433914559e-03,8.997785957833709602e+00
3.326129139185966723e-03,-1.221141498242148083e-03,8.997785957853331240e+00
3.324206871948377339e-03,-1.226364661005136230e-03,8.997785957870991780e+00
3.322276402560777556e-03,-1.231584797835243161e-03,8.997785957886884844e+00
3.320337735786409259e-03,-1.236801895852298857e-03,8.997785957901189846e+00
3.318390876408739473e-03,-1.242015942183631637e-03,8.997785957914064880e+00
3.316435829231451689e-03,-1.247226923964100042e-03,8.997785957925650280e+00
3.314472599078429824e-03,-1.252434828336123403e-03,8.997785957936079271e+00
3.312501190793749970e-03,-1.257639642449714804e-03,8.997785957945463764e+00
3.310521609241665660e-03,-1.262841353462512304e-03,8.997785957953910341e+00
3.308533859306598320e-03,-1.268039948539810384e-03,8.997785957961511372e+00
3.306537945893122960e-03,-1.273235414854592034e-03,8.997785957968353898e+00
3.304533873925957765e-03,-1.278427739587560197e-03,8.997785957974510751e+00
3.302521648349951953e-03,-1.283616909927168996e-03,8.997785957980052984e+00
3.300501274130071896e-03,-1.288802913069656692e-03,8.997785957985039218e+00
3.298472756251388978e-03,-1.293985736219075387e-03,8.997785957989529848e+00
3.296436099719071353e-03,-1.299165366587323560e-03,8.997785957993569284e+00
3.294391309558365732e-03,-1.304341791394178366e-03,8.997785957997205486e+00
3.292338390814588713e-03,-1.309514997867325999e-03,8.997785958000477535e+00
3.290277348553113761e-03,-1.314684973242392918e-03,8.997785958003422735e+00
3.288208187859356906e-03,-1.319851704762979670e-03,8.997785958006074836e+00
3.286130913838767199e-03,-1.325015179680688647e-03,8.997785958008460483e+00
3.284045531616811963e-03,-1.330175385255159002e-03,8.997785958010606322e+00
3.281952046338964223e-03,-1.335332308754096564e-03,8.997785958012538998e+00
3.279850463170690556e-03,-1.340485937453304638e-03,8.997785958014278052e+00
3.277740787297439388e-03,-1.345636258636716959e-03,8.997785958015843022e+00
3.275623023924625378e-03,-1.350783259596427836e-03,8.997785958017253449e+00
3.273497178277620309e-03,-1.355926927632723376e-03,8.997785958018519992e+00
3.271363255601735746e-03,-1.361067250054115094e-03,8.997785958019662189e+00
3.269221261162214790e-03,-1.366204214177367234e-03,8.997785958020688923e+00
3.267071200244215171e-03,-1.371337807327532117e-03,8.997785958021612629e+00
3.264913078152797965e-03,-1.376468016837978543e-03,8.997785958022443964e+00
3.262746900212916759e-03,-1.381594830050424322e-03,8.997785958023193587e+00
3.260572671769398998e-03,-1.386718234314968145e-03,8.997785958023868602e+00
3.258390398186937313e-03,-1.391838216990118424e-03,8.997785958024474340e+00
3.256200084850074776e-03,-1.396954765442827125e-03,8.997785958025019681e+00
3.254001737163191889e-03,-1.402067867048519901e-03,8.997785958025511732e+00
3.251795360550493574e-03,-1.407177509191126236e-03,8.997785958025952269e+00
3.249580960455994861e-03,-1.412283679263112192e-03,8.997785958026350173e+00
3.247358542343507012e-03,-1.417386364665510975e-03,8.997785958026708997e+00
3.245128111696625808e-03,-1.422485552807953302e-03,8.997785958027030517e+00
3.242889674018718110e-03,-1.427581231108699484e-03,8.997785958027320063e+00
3.240643234832905808e-03,-1.432673386994669576e-03,8.997785958027581188e+00
3.238388799682054547e-03,-1.437762007901475462e-03,8.997785958027817443e+00
3.236126374128758549e-03,-1.442847081273450566e-03,8.997785958028028830e+00
3.233855963755327603e-03,-1.447928594563681727e-03,8.997785958028218900e+00
3.231577574163774485e-03,-1.453006535234040424e-03,8.997785958028391207e+00
3.229291210975799350e-03,-1.458080890755212916e-03,8.997785958028545750e+00
3.226996879832774983e-03,-1.463151648606730382e-03,8.997785958028684306e+00
3.224694586395735960e-03,-1.468218796277003402e-03,8.997785958028806874e+00
3.222384336345362164e-03,-1.473282321263347759e-03,8.997785958028920561e+00
3.220066135381966649e-03,-1.478342211072018915e-03,8.997785958029021813e+00
3.217739989225479151e-03,-1.483398453218242154e-03,8.997785958029112408e+00
3.215405903615433953e-03,-1.488451035226242289e-03,8.997785958029194120e+00
3.213063884310956003e-03,-1.493499944629275754e-03,8.997785958029266951e+00
3.210713937090744867e-03,-1.498545168969660094e-03,8.997785958029334452e+00
3.208356067753061289e-03,-1.503586695798806057e-03,8.997785958029394848e+00
3.205990282115713744e-03,-1.508624512677247519e-03,8.997785958029448139e+00
3.203616586016043693e-03,-1.513658607174672059e-03,8.997785958029496101e+00
3.201234985310909536e-03,-1.518688966869951315e-03,8.997785958029538733e+00
3.198845485876674472e-03,-1.523715579351173728e-03,8.997785958029579589e+00
3.196448093609190449e-03,-1.528738432215671862e-03,8.997785958029613340e+00
3.194042814423785157e-03,-1.533757513070056235e-03,8.997785958029645315e+00
3.191629654255245981e-03,-1.538772809530243287e-03,8.997785958029673736e+00
3.189208619057805252e-03,-1.543784309221487693e-03,8.997785958029700382e+00
3.186779714805126808e-03,-1.548791999778412285e-03,8.997785958029723474e+00
3.184342947490290381e-03,-1.553795868845037976e-03,8.997785958029744791e+00
3.181898323125777715e-03,-1.558795904074816068e-03,8.997785958029762554e+00
3.179445847743455657e-03,-1.563792093130655795e-03,8.997785958029780318e+00
3.176985527394563576e-03,-1.568784423684957928e-03,8.997785958029794529e+00
3.174517368149697323e-03,-1.573772883419642752e-03,8.997785958029808739e+00
3.172041376098794913e-03,-1.578757460026181938e-03,8.997785958029822950e+00
3.169557557351120481e-03,-1.583738141205628036e-03,8.997785958029833608e+00
3.167065918035249540e-03,-1.588714914668645480e-03,8.997785958029842490e+00
3.164566464299054232e-03,-1.593687768135540733e-03,8.997785958029853148e+00
3.162059202309689017e-03,-1.598656689336291990e-03,8.997785958029860254e+00
3.159544138253572460e-03,-1.603621666010579972e-03,8.997785958029867359e+00
3.157021278336376389e-03,-1.608582685907818501e-03,8.997785958029872688e+00
3.154490628783005943e-03,-1.613539736787183987e-03,8.997785958029879794e+00
3.151952195837587432e-03,-1.618492806417646005e-03,8.997785958029883346e+00
3.149405985763452289e-03,-1.623441882577998305e-03,8.997785958029888675e+00
3.146852004843120592e-03,-1.628386953056886561e-03,8.997785958029894005e+00
3.144290259378285882e-03,-1.633328005652841339e-03,8.997785958029897557e+00
3.141720755689801289e-03,-1.638265028174306715e-03,8.997785958029899334e+00
3.139143500117661315e-03,-1.643198008439670198e-03,8.997785958029902886e+00
3.136558499020987521e-03,-1.648126934277293091e-03,8.997785958029906439e+00
3.133965758778013352e-03,-1.653051793525541283e-03,8.997785958029909992e+00
3.131365285786068091e-03,-1.657972574032813865e-03,8.997785958029911768e+00
3.128757086461559939e-03,-1.662889263657574366e-03,8.997785958029913544e+00
3.126141167239961279e-03,-1.667801850268379581e-03,8.997785958029913544e+00
3.123517534575793054e-03,-1.672710321743910589e-03,8.997785958029915321e+00
3.120886194942608296e-03,-1.677614665973002238e-03,8.997785958029917097e+00
3.118247154832975206e-03,-1.682514870854671983e-03,8.997785958029918874e+00
3.115600420758463281e-03,-1.687410924298151770e-03,8.997785958029920650e+00
3.112945999249626828e-03,-1.692302814222916649e-03,8.997785958029922426e+00
3.110283896855985022e-03,-1.697190528558714055e-03,8.997785958029924203e+00
3.107614120146012359e-03,-1.702074055245595026e-03,8.997785958029924203e+00
3.104936675707116976e-03,-1.706953382233942834e-03,8.997785958029924203e+00
3.102251570145626771e-03,-1.711828497484503119e-03,8.997785958029924203e+00
3.099558810086772923e-03,-1.716699388968414034e-03,8.997785958029924203e+00
3.096858402174673414e-03,-1.721566044667234433e-03,8.997785958029924203e+00
3.094150353072316114e-03,-1.726428452572975527e-03,8.997785958029924203e+00
3.091434669461543168e-03,-1.731286600688129295e-03,8.997785958029924203e+00
3.088711358043033650e-03,-1.736140477025697754e-03,8.997785958029924203e+00
3.085980425536287951e-03,-1.740990069609223969e-03,8.997785958029924203e+00
3.083241878679610429e-03,-1.745835366472819807e-03,8.997785958029924203e+00
3.080495724230093366e-03,-1.750676355661197597e-03,8.997785958029924203e+00
3.077741968963599618e-03,-1.755513025229697233e-03,8.997785958029924203e+00
3.074980619674746573e-03,-1.760345363244317403e-03,8.997785958029924203e+00
3.072211683176889665e-03,-1.765173357781744858e-03,8.997785958029924203e+00
3.069435166302104164e-03,-1.769996996929382605e-03,8.997785958029924203e+00
3.066651075901169130e-03,-1.774816268785380478e-03,8.997785958029924203e+00
3.063859418843551362e-03,-1.779631161458664198e-03,8.997785958029924203e+00
3.061060202017386322e-03,-1.784441663068965511e-03,8.997785958029924203e+00
3.058253432329464689e-03,-1.789247761746849078e-03,8.997785958029924203e+00
3.055439116705209804e-03,-1.794049445633744350e-03,8.997785958029924203e+00
3.052617262088667700e-03,-1.798846702881973323e-03,8.997785958029924203e+00
3.049787875442482379e-03,-1.803639521654781547e-03,8.997785958029924203e+00
3.046950963747884975e-03,-1.808427890126364582e-03,8.997785958029924203e+00
3.044106534004672928e-03,-1.813211796481898784e-03,8.997785958029924203e+00
3.041254593231193949e-03,-1.817991228917571886e-03,8.997785958029924203e+00
3.038395148464328663e-03,-1.822766175640608581e-03,8.997785958029924203e+00
3.035528206759471968e-03,-1.827536624869302182e-03,8.997785958029924203e+00
3.032653775190518718e-03,-1.832302564833044331e-03,8.997785958029924203e+00
3.029771860849841611e-03,-1.837063983772351666e-03,8.997785958029924203e+00
3.026882470848279039e-03,-1.841820869938896399e-03,8.997785958029924203e+00
3.023985612315113411e-03,-1.846573211595534288e-03,8.997785958029924203e+00
3.021081292398054667e-03,-1.851320997016334775e-03,8.997785958029924203e+00
3.018169518263224237e-03,-1.856064214486610048e-03,8.997785958029924203e+00
3.015250297095134219e-03,-1.860802852302941707e-03,8.997785958029924203e+00
3.012323636096673508e-03,-1.865536898773212209e-03,8.997785958029924203e+00
3.009389542489086539e-03,-1.870266342216632622e-03,8.997785958029924203e+00
3.006448023511958979e-03,-1.874991170963771249e-03,8.997785958029924203e+00
3.003499086423195175e-03,-1.879711373356583119e-03,8.997785958029924203e+00
3.000542738499004710e-03,-1.884426937748437305e-03,8.997785958029924203e+00
2.997578987033881585e-03,-1.889137852504148589e-03,8.997785958029924203e+00
2.994607839340589044e-03,-1.893844106000001741e-03,8.997785958029924203e+00
2.991629302750138317e-03,-1.898545686623785787e-03,8.997785958029924203e+00
2.988643384611771280e-03,-1.903242582774816120e-03,8.997785958029924203e+00
2.985650092292945704e-03,-1.907934782863969416e-03,8.997785958029924203e+00
2.982649433179311842e-03,-1.912622275313707919e-03,8.997785958029924203e+00
2.979641414674698112e-03,-1.917305048558111315e-03,8.997785958029924203e+00
