mag_x (uT),mag_y (uT),mag_z (uT)
3.234260338126892265e+01,-4.867433841301238573e+00,3.769980549854109597e+01
3.234036472440632792e+01,-4.891913562497204992e+00,3.770688654221461888e+01
3.233844376866080950e+01,-4.940763359248861342e+00,3.769089772564108642e+01
3.235021236854858984e+01,-4.992728176464004797e+00,3.770095224098310638e+01
3.233584683025899409e+01,-5.034785298475958015e+00,3.770761880279869871e+01
3.231962669546300759e+01,-5.108992237034030381e+00,3.770276748206988060e+01
3.232113775551798085e+01,-5.142082855180954759e+00,3.769086736043662711e+01
3.228688997667893545e+01,-5.197817315826685380e+00,3.770230143715029669e+01
3.231038135864307037e+01,-5.240455519867902368e+00,3.770182612853184168e+01
3.228864381617085400e+01,-5.292072757967393848e+00,3.770639766854817054e+01
3.228346794652575369e+01,-5.352609501589700614e+00,3.769239090689900706e+01
3.227205965300270663e+01,-5.387040670781746421e+00,3.770955519185190497e+01
3.225741224086114300e+01,-5.434289277526239026e+00,3.770072832836710575e+01
3.226837826739343029e+01,-5.495782927589433875e+00,3.768287989072140221e+01
3.225051162975380237e+01,-5.552010496383042337e+00,3.770059247134025071e+01
3.224935321689965662e+01,-5.614098557392140698e+00,3.768269858797884808e+01
3.222303884907814364e+01,-5.642764096662885365e+00,3.769983869240442687e+01
3.220588117174839482e+01,-5.692723956805867402e+00,3.770073939742100322e+01
3.221057500096202375e+01,-5.740718993290463423e+00,3.768706197297769478e+01
3.217334130359782307e+01,-5.809146580285540651e+00,3.770208093123811466e+01
3.220162373382321164e+01,-5.850704721562046018e+00,3.770826690868423015e+01
3.218291440963320582e+01,-5.902473561492088017e+00,3.771535432907905516e+01
3.217963230510989803e+01,-5.943392735490109047e+00,3.769989750275014018e+01
3.217423072242029036e+01,-6.008739787368639007e+00,3.770422234559531205e+01
3.215281862247144318e+01,-6.045089515166478300e+00,3.769816823453633958e+01
3.214948856804721089e+01,-6.097033487500283400e+00,3.770070334239618859e+01
3.213771850865579438e+01,-6.161249480809440016e+00,3.771343163564025502e+01
3.213134686907697102e+01,-6.197375516739558776e+00,3.771974230209700352e+01
3.212552672825206201e+01,-6.245628049267086368e+00,3.768864070422298340e+01
3.211398893566583723e+01,-6.293198639516305981e+00,3.769800119362922430e+01
3.211571317941193371e+01,-6.367516272822673074e+00,3.771464535329413081e+01
3.207794109002735894e+01,-6.403261676018010107e+00,3.768779030500539307e+01
3.208447533361140103e+01,-6.437825927671798176e+00,3.768349934775074672e+01
3.208359079353892440e+01,-6.501107016110021064e+00,3.770611503635235806e+01
3.204113559021946145e+01,-6.540383937030170181e+00,3.769884404814248313e+01
3.204210704670111198e+01,-6.603196472733422695e+00,3.769541291359168866e+01
3.204044442330930309e+01,-6.666206899548846820e+00,3.772123565197149020e+01
3.202167426583797294e+01,-6.702302686704916468e+00,3.768099541362882832e+01
3.201754753689701971e+01,-6.733607091785093424e+00,3.769416281596032547e+01
3.201470413388641845e+01,-6.816527345895922352e+00,3.770689534250606556e+01
3.198963697753668711e+01,-6.849076466814412179e+00,3.768394030721638899e+01
3.197878754851960892e+01,-6.903325461098792637e+00,3.769900034234457564e+01
3.197074480984093725e+01,-6.955554244486533477e+00,3.769206722344803495e+01
3.197415982444105609e+01,-6.993355332437702465e+00,3.770047953019028597e+01
3.195613207356120355e+01,-7.053018434957201599e+00,3.770275260865874145e+01
