ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.050867100778140895e+01,-1.182321345099011722e+01,3.770211419708795120e+01
3.049006151678583976e+01,-1.187112175286441840e+01,3.770211419708795120e+01
3.047137679457748760e+01,-1.191900076397348585e+01,3.770211419708795120e+01
3.045261688726066041e+01,-1.196685036617582654e+01,3.770211419708795120e+01
3.043378184112504314e+01,-1.201467044140300011e+01,3.770211419708795120e+01
3.041487170264557705e+01,-1.206246087165985870e+01,3.770211419708795120e+01
3.039588651848233170e+01,-1.211022153902477960e+01,3.770211419708795120e+01
3.037682633548045885e+01,-1.215795232564993000e+01,3.770211419708795120e+01
3.035769120067004323e+01,-1.220565311376152096e+01,3.770211419708795120e+01
3.033848116126601724e+01,-1.225332378566006142e+01,3.770211419708795120e+01
3.031919626466804374e+01,-1.230096422372063714e+01,3.770211419708795120e+01
3.029983655846041302e+01,-1.234857431039314335e+01,3.770211419708795120e+01
3.028040209041193265e+01,-1.239615392820257966e+01,3.770211419708795120e+01
3.026089290847581026e+01,-1.244370295974931295e+01,3.770211419708795120e+01
3.024130906078956116e+01,-1.249122128770934026e+01,3.770211419708795120e+01
3.022165059567484846e+01,-1.253870879483456768e+01,3.770211419708795120e+01
3.020191756163743335e+01,-1.258616536395308216e+01,3.770211419708795120e+01
3.018211000736700100e+01,-1.263359087796943925e+01,3.770211419708795120e+01
3.016222798173708242e+01,-1.268098521986491001e+01,3.770211419708795120e+01
3.014227153380492297e+01,-1.272834827269779545e+01,3.770211419708795120e+01
3.012224071281137228e+01,-1.277567991960367522e+01,3.770211419708795120e+01
3.010213556818074920e+01,-1.282298004379570777e+01,3.770211419708795120e+01
3.008195614952073882e+01,-1.287024852856490043e+01,3.770211419708795120e+01
3.006170250662226806e+01,-1.291748525728038643e+01,3.770211419708795120e+01
3.004137468945937783e+01,-1.296469011338971988e+01,3.770211419708795120e+01
3.002097274818911643e+01,-1.301186298041914036e+01,3.770211419708795120e+01
3.000049673315140097e+01,-1.305900374197387492e+01,3.770211419708795120e+01
2.997994669486891439e+01,-1.310611228173839926e+01,3.770211419708795120e+01
2.995932268404695265e+01,-1.315318848347674141e+01,3.770211419708795120e+01
2.993862475157334302e+01,-1.320023223103273935e+01,3.770211419708795120e+01
2.991785294851827359e+01,-1.324724340833035896e+01,3.770211419708795120e+01
2.989700732613420087e+01,-1.329422189937394094e+01,3.770211419708795120e+01
2.987608793585571121e+01,-1.334116758824850635e+01,3.770211419708795120e+01
2.985509482929940006e+01,-1.338808035912003902e+01,3.770211419708795120e+01
2.983402805826374760e+01,-1.343496009623575738e+01,3.770211419708795120e+01
2.981288767472897305e+01,-1.348180668392441106e+01,3.770211419708795120e+01
2.979167373085693171e+01,-1.352862000659655450e+01,3.770211419708795120e+01
2.977038627899097278e+01,-1.357539994874484179e+01,3.770211419708795120e+01
2.974902537165582217e+01,-1.362214639494429491e+01,3.770211419708795120e+01
2.972759106155742614e+01,-1.366885922985260038e+01,3.770211419708795120e+01
2.970608340158285898e+01,-1.371553833821038815e+01,3.770211419708795120e+01
2.968450244480017020e+01,-1.376218360484150693e+01,3.770211419708795120e+01
2.966284824445825308e+01,-1.380879491465332620e+01,3.770211419708795120e+01
2.964112085398672036e+01,-1.385537215263700617e+01,3.770211419708795120e+01
2.961932032699578343e+01,-1.390191520386777491e+01,3.770211419708795120e+01
2.959744671727609244e+01,-1.394842395350522679e+01,3.770211419708795120e+01
2.957550007879862264e+01,-1.399489828679359604e+01,3.770211419708795120e+01
2.955348046571454645e+01,-1.404133808906203562e+01,3.770211419708795120e+01
2.953138793235508786e+01,-1.408774324572491565e+01,3.770211419708795120e+01
2.950922253323139088e+01,-1.413411364228208100e+01,3.770211419708795120e+01
