mag_x (uT),mag_y (uT),mag_z (uT)
3.252012983949683900e+01,-3.605722915199056633e+00,3.769378127986141180e+01
3.251788598708110811e+01,-3.605964819372370123e+00,3.770354694669762807e+01
3.252030699514738643e+01,-3.616964457725843740e+00,3.770672303019768634e+01
3.252280035582044349e+01,-3.603214058380145079e+00,3.769440720877495465e+01
3.251525876513144198e+01,-3.607022583549157613e+00,3.770785695187418440e+01
3.249772426367080413e+01,-3.619203704536785970e+00,3.771043502614013221e+01
3.250458858002757268e+01,-3.605140489719486308e+00,3.770166689348381794e+01
3.252310326694747289e+01,-3.610447365898939776e+00,3.769548709226035754e+01
3.250978252874256924e+01,-3.606178146538282725e+00,3.770531767416843394e+01
3.253456369242019974e+01,-3.607911453217114151e+00,3.768874128950017877e+01
3.252011153216713524e+01,-3.607478671170468054e+00,3.771719739509586589e+01
3.251257764688023144e+01,-3.606291734350794975e+00,3.770816330124130644e+01
3.251026820470400480e+01,-3.612266751424872968e+00,3.771280794746412113e+01
3.250165139939977621e+01,-3.610882696253116197e+00,3.770155298887197404e+01
3.250882947048123839e+01,-3.594925908901805300e+00,3.769841226484361130e+01
3.251901240196443865e+01,-3.614476210756571550e+00,3.768585324968918826e+01
3.251722179934258605e+01,-3.599592470381530518e+00,3.770455806137002241e+01
3.252039049863105902e+01,-3.618939820764590198e+00,3.771504429277248960e+01
3.252440120501893261e+01,-3.608783327122936146e+00,3.768812485805168677e+01
3.251466313761078197e+01,-3.620582417861625935e+00,3.769216532659424956e+01
3.250806498533059141e+01,-3.616540297889020650e+00,3.770863195207846275e+01
3.253143190527608652e+01,-3.617072110755068515e+00,3.770252658384904976e+01
3.251556324102497086e+01,-3.618957141732168203e+00,3.771542540782948549e+01
3.252395966712024489e+01,-3.617883010633422547e+00,3.767257549465812616e+01
3.251619388276031941e+01,-3.617146568997598788e+00,3.771020750275823019e+01
3.252469070389335570e+01,-3.598503547876090281e+00,3.769725139994252316e+01
3.250548195688892861e+01,-3.604506142979226446e+00,3.769399369632682095e+01
3.251665954428101912e+01,-3.620288873115814265e+00,3.770303050197978223e+01
3.252505697570821752e+01,-3.587798491318787253e+00,3.768437395585866057e+01
3.251055328044873249e+01,-3.617696589993429690e+00,3.771350110770266184e+01
3.253337070987351609e+01,-3.602120990089727304e+00,3.770842904673695273e+01
3.251893431208627305e+01,-3.608927087687316071e+00,3.768814078511771015e+01
3.253897765796723718e+01,-3.608429926419615352e+00,3.768198063426768130e+01
3.250436246535481644e+01,-3.624952996341339606e+00,3.769051411410256236e+01
3.251154025010235671e+01,-3.597048740533274280e+00,3.768738255573062190e+01
