ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.999916647515819657e-01,-1.552876869720736528e-03,-9.793531481419110563e+00
9.999924982764237802e-01,-1.553616064163321859e-03,-9.793531416745226537e+00
9.999932484487813467e-01,-1.554355259346773760e-03,-9.793531352040510285e+00
9.999939236039031565e-01,-1.555094455209544025e-03,-9.793531287304968913e+00
9.999945312435127853e-01,-1.555833651696246836e-03,-9.793531222538607750e+00
9.999950781191615512e-01,-1.556572848757039034e-03,-9.793531157741432125e+00
9.999955703072453961e-01,-1.557312046347069778e-03,-9.793531092913443814e+00
9.999960132765208787e-01,-1.558051244425976605e-03,-9.793531028054651699e+00
9.999964119488687908e-01,-1.558790442957442212e-03,-9.793530963165052228e+00
9.999967707539818562e-01,-1.559529641908784627e-03,-9.793530898244652505e+00
9.999970936785836928e-01,-1.560268841250597900e-03,-9.793530833293454307e+00
9.999973843107252680e-01,-1.561008040956420343e-03,-9.793530768311459411e+00
9.999976458796527856e-01,-1.561747241002444395e-03,-9.793530703298673146e+00
9.999978812916875404e-01,-1.562486441367248605e-03,-9.793530638255091958e+00
9.999980931625187530e-01,-1.563225642031559328e-03,-9.793530573180717624e+00
9.999982838462668777e-01,-1.563964842978036269e-03,-9.793530508075557250e+00
9.999984554616402344e-01,-1.564704044191078626e-03,-9.793530442939609060e+00
9.999986099154761776e-01,-1.565443245656653135e-03,-9.793530377772871276e+00
9.999987489239285932e-01,-1.566182447362134047e-03,-9.793530312575351005e+00
9.999988740315357560e-01,-1.566921649296165427e-03,-9.793530247347048245e+00
9.999989866283821582e-01,-1.567660851448531923e-03,-9.793530182087959446e+00
9.999990879655439313e-01,-1.568400053810046655e-03,-9.793530116798089935e+00
9.999991791689895049e-01,-1.569139256372445836e-03,-9.793530051477437937e+00
9.999992612520905988e-01,-1.569878459128300078e-03,-9.793529986126003450e+00
9.999993351268815500e-01,-1.570617662070926792e-03,-9.793529920743790029e+00
9.999994016141934283e-01,-1.571356865194319065e-03,-9.793529855330795897e+00
9.999994614527740744e-01,-1.572096068493075835e-03,-9.793529789887021053e+00
9.999995153074966447e-01,-1.572835271962342478e-03,-9.793529724412470827e+00
9.999995637767469248e-01,-1.573574475597755299e-03,-9.793529658907136337e+00
9.999996073990722323e-01,-1.574313679395393604e-03,-9.793529593371028241e+00
9.999996466591649646e-01,-1.575052883351734170e-03,-9.793529527804139434e+00
9.999996819932485126e-01,-1.575792087463612429e-03,-9.793529462206475245e+00
9.999997137939236058e-01,-1.576531291728185818e-03,-9.793529396578030344e+00
9.999997424145312674e-01,-1.577270496142901693e-03,-9.793529330918810061e+00
9.999997681730781185e-01,-1.578009700705469785e-03,-9.793529265228812619e+00
9.999997913557703288e-01,-1.578748905413833361e-03,-9.793529199508039795e+00
9.999998122201932960e-01,-1.579488110266148411e-03,-9.793529133756488037e+00
9.999998309981739109e-01,-1.580227315260760660e-03,-9.793529067974160895e+00
9.999998478983564976e-01,-1.580966520396187569e-03,-9.793529002161060149e+00
9.999998631085208478e-01,-1.581705725671100340e-03,-9.793528936317178690e+00
9.999998767976687741e-01,-1.582444931084309604e-03,-9.793528870442521850e+00
9.999998891179019411e-01,-1.583184136634749805e-03,-9.793528804537091403e+00
9.999999002061117359e-01,-1.583923342321469450e-03,-9.793528738600882022e+00
9.999999101855006067e-01,-1.584662548143617221e-03,-9.793528672633899035e+00
9.999999191669505239e-01,-1.585401754100431576e-03,-9.793528606636140665e+00
9.999999272502554382e-01,-1.586140960191235972e-03,-9.793528540607605137e+00
9.999999345252298388e-01,-1.586880166415425425e-03,-9.793528474548294227e+00
9.999999410727068438e-01,-1.587619372772461519e-03,-9.793528408458209711e+00
9.999999469654361484e-01,-1.588358579261866339e-03,-9.793528342337349812e+00
9.999999522688924891e-01,-1.589097785883215310e-03,-9.793528276185709203e+00
9.999999570420032846e-01,-1.589836992636131348e-03,-9.793528210003296763e+00
9.999999613378030006e-01,-1.590576199520283554e-03,-9.793528143790110718e+00
9.999999652040226783e-01,-1.591315406535377241e-03,-9.793528077546143962e+00
