mag_x (uT),mag_y (uT),mag_z (uT)
3.251863681442767984e+01,-3.618430758757920085e+00,3.769591667568086990e+01
3.251720745054916506e+01,-3.609487376373571976e+00,3.769767803396312189e+01
3.252440374298090831e+01,-3.600029048354903782e+00,3.771162805161428366e+01
3.251726386615887066e+01,-3.605998893776051428e+00,3.769581834072335624e+01
3.253631884331011292e+01,-3.613727997289345240e+00,3.771838181110053512e+01
3.252678245990769312e+01,-3.618241333652909120e+00,3.769184718891098385e+01
3.251807030530132891e+01,-3.608387683663784262e+00,3.769610308681885158e+01
3.251448436034647926e+01,-3.627404877002048167e+00,3.768776122943192775e+01
3.251816053937946549e+01,-3.611135187654272105e+00,3.770362473992307173e+01
3.252569279472916008e+01,-3.602216063557060810e+00,3.770679035894838904e+01
3.251953919616779842e+01,-3.607121667211241167e+00,3.770758536711878861e+01
3.251040475416812825e+01,-3.600882522898151805e+00,3.770194809988307583e+01
3.252235297032139982e+01,-3.622807585282600940e+00,3.770461215181043713e+01
3.251782972914426040e+01,-3.610541708649016801e+00,3.770508914246856591e+01
3.254733768199432120e+01,-3.604303736652816337e+00,3.771688924271089860e+01
3.251460361810618593e+01,-3.616255215232114573e+00,3.768984361583881793e+01
3.251585806272773027e+01,-3.601312426025065516e+00,3.769842765576549937e+01
3.252951479202626928e+01,-3.605503809762581557e+00,3.768914097745100378e+01
3.250958116619138139e+01,-3.601591789475904637e+00,3.769398710181684464e+01
3.251349045545401140e+01,-3.603955897690641841e+00,3.770966748666126733e+01
3.251805906272647917e+01,-3.610772270209398283e+00,3.772224889541453052e+01
3.252942315228491310e+01,-3.617935634007774404e+00,3.770396092919615683e+01
3.251555125771044885e+01,-3.610486106172240639e+00,3.770112608941178678e+01
3.251423415878685574e+01,-3.608554313020359672e+00,3.770090740962235287e+01
3.253060515779463913e+01,-3.610568254666743471e+00,3.768927972340540578e+01
3.253193662326839330e+01,-3.611279169452005888e+00,3.770043422742737960e+01
3.252047537346838624e+01,-3.598211501430653936e+00,3.771214606991274110e+01
3.254161146807854266e+01,-3.597494605877042950e+00,3.770355804301911462e+01
3.253219921037700857e+01,-3.609221199975748195e+00,3.768489148040870873e+01
3.252127001493699510e+01,-3.605492162855778560e+00,3.770715275240497277e+01
3.251834956036572777e+01,-3.618332831224817081e+00,3.769483583547912531e+01
3.252477223754625868e+01,-3.617418077413483868e+00,3.769211731342817018e+01
3.249814981404373526e+01,-3.600194282308640581e+00,3.769346988581733626e+01
3.252401565451401666e+01,-3.616872375415375096e+00,3.769526485005929572e+01
